ProjectName,PLC_Name,BlockName,BlockType,Language,AttributeName,AttributeValue,InterfaceSection,InterfaceName,InterfaceDataType,InitialValue,Comment,SourceReference
P24U1_OP6020,PC-System_1,F_Manage,,F_DB,,,,,,,,
P24U1_OP6020,PC-System_1,Main_Safety_RTG1_DB,,F_DB,,,,,,,,
P24U1_OP6020,PC-System_1,RTG2_GLOB_FIO_STATUS,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,F_Main,,F_LAD,,,,,,,,
P24U1_OP6020,PC-System_1,F_SR1,,F_LAD,,,,,,,,
P24U1_OP6020,PC-System_1,F_FanucCobot-1Safety_DB,,F_DB,,,,,,,,
P24U1_OP6020,PC-System_1,F_FanucCobotSafety,,F_LAD,,,,,,,,
P24U1_OP6020,PC-System_1,Safety_Signals_FromConv,,F_DB,,,,,,,,
P24U1_OP6020,PC-System_1,Safety_Signals_ToConv,,F_DB,,,,,,,,
P24U1_OP6020,PC-System_1,FS_GetAPN_Base,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_CopyAPN_List,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_APN_Check,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_PNIODiagBits,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_BroadcastRecv,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_GigEInterface,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_GigECameraHMI,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Cognex2D_4Feature,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Cognex2D_4Feature_Gen2,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_PF6_GetProcessData,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_BoschMulti,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_BoschSingle,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_BoltIndicatorSingelHMI,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_PF6Flex,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_PowerFocus,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,ZZ_HeartBeat,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,ZZ_ToolTracker,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_MultiStacklight,,STL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Stacklight,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_FIS_TCP_Send,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_FIS_Control,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_FIS_CallButtons,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_FIS_Checksum,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_IQT_FIS,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_GPTS_Comm,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_GPTS_Edit_Cntrl,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_GPTS_Control,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_GPTS_Manager,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Bool16ToWord,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_ShipCodeToInt,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_TON1,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_DINT_TO_Str9,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_TONR,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_PlcInfo_Enet,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_DeviceInfo_IaM,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_LengthOfArray,,LAD,,,,,,,,
